"Step","dreamerv3/medium/ih_15/room3/run4 - train/score","dreamerv3/medium/ih_15/room3/run4 - train/score__MIN","dreamerv3/medium/ih_15/room3/run4 - train/score__MAX","dreamerv3/medium/ih_15/room3/run3 - train/score","dreamerv3/medium/ih_15/room3/run3 - train/score__MIN","dreamerv3/medium/ih_15/room3/run3 - train/score__MAX","dreamerv3/medium/ih_15/room3/run2 - train/score","dreamerv3/medium/ih_15/room3/run2 - train/score__MIN","dreamerv3/medium/ih_15/room3/run2 - train/score__MAX","dreamerv3/medium/ih_15/room3/run1 - train/score","dreamerv3/medium/ih_15/room3/run1 - train/score__MIN","dreamerv3/medium/ih_15/room3/run1 - train/score__MAX","dreamerv3/medium/ih_15/room3/run0 - train/score","dreamerv3/medium/ih_15/room3/run0 - train/score__MIN","dreamerv3/medium/ih_15/room3/run0 - train/score__MAX","dreamerv3/medium/ih_15/room2/run4 - train/score","dreamerv3/medium/ih_15/room2/run4 - train/score__MIN","dreamerv3/medium/ih_15/room2/run4 - train/score__MAX","dreamerv3/medium/ih_15/room2/run3 - train/score","dreamerv3/medium/ih_15/room2/run3 - train/score__MIN","dreamerv3/medium/ih_15/room2/run3 - train/score__MAX","dreamerv3/medium/ih_15/room2/run2 - train/score","dreamerv3/medium/ih_15/room2/run2 - train/score__MIN","dreamerv3/medium/ih_15/room2/run2 - train/score__MAX","dreamerv3/medium/ih_15/room2/run1 - train/score","dreamerv3/medium/ih_15/room2/run1 - train/score__MIN","dreamerv3/medium/ih_15/room2/run1 - train/score__MAX","dreamerv3/medium/ih_15/room2/run0 - train/score","dreamerv3/medium/ih_15/room2/run0 - train/score__MIN","dreamerv3/medium/ih_15/room2/run0 - train/score__MAX"
"0","-68.78336343169212","-68.78336343169212","-68.78336343169212","-35.117058876669034","-35.117058876669034","-35.117058876669034","-61.19152934849262","-61.19152934849262","-61.19152934849262","-80.5126134455204","-80.5126134455204","-80.5126134455204","-87.58275230973959","-87.58275230973959","-87.58275230973959","-57.171899078413844","-57.171899078413844","-57.171899078413844","-98.99480193853378","-98.99480193853378","-98.99480193853378","-76.96885538101196","-76.96885538101196","-76.96885538101196","-98.23816865682602","-98.23816865682602","-98.23816865682602","-99.23553320765495","-99.23553320765495","-99.23553320765495"
"1","-84.73177146166563","-84.73177146166563","-84.73177146166563","-73.82002012059093","-73.82002012059093","-73.82002012059093","-48.64879545869189","-48.64879545869189","-48.64879545869189","-60.61890181899071","-60.61890181899071","-60.61890181899071","-41.11786875331018","-41.11786875331018","-41.11786875331018","-98.00929927825928","-98.00929927825928","-98.00929927825928","-97.67152869701385","-97.67152869701385","-97.67152869701385","-39.474567875266075","-39.474567875266075","-39.474567875266075","-93.85640224814415","-93.85640224814415","-93.85640224814415","-70.30782657116652","-70.30782657116652","-70.30782657116652"
"2","-88.13274800777435","-88.13274800777435","-88.13274800777435","-70.44111546874046","-70.44111546874046","-70.44111546874046","-100","-100","-100","-46.80321222450584","-46.80321222450584","-46.80321222450584","-92.29157096147537","-92.29157096147537","-92.29157096147537","-24.559519629809074","-24.559519629809074","-24.559519629809074","-96.93047952651978","-96.93047952651978","-96.93047952651978","-91.14971406757832","-91.14971406757832","-91.14971406757832","-47.88078500516713","-47.88078500516713","-47.88078500516713","-68.81868776679039","-68.81868776679039","-68.81868776679039"
"3","-16.066462844610214","-16.066462844610214","-16.066462844610214","-48.766549648717046","-48.766549648717046","-48.766549648717046","-49.17278632521629","-49.17278632521629","-49.17278632521629","-75.42178070545197","-75.42178070545197","-75.42178070545197","-70.53879171609879","-70.53879171609879","-70.53879171609879","-51.074699925258756","-51.074699925258756","-51.074699925258756","-81.51091190893203","-81.51091190893203","-81.51091190893203","3.206641113385558","3.206641113385558","3.206641113385558","-67.58747129142284","-67.58747129142284","-67.58747129142284","-61.9063232652843","-61.9063232652843","-61.9063232652843"
"4","-51.96270267665386","-51.96270267665386","-51.96270267665386","-81.06543554365635","-81.06543554365635","-81.06543554365635","-34.28310055285692","-34.28310055285692","-34.28310055285692","-58.30052587389946","-58.30052587389946","-58.30052587389946","-45.088130474090576","-45.088130474090576","-45.088130474090576","-91.97916592657566","-91.97916592657566","-91.97916592657566","-55.37680760957301","-55.37680760957301","-55.37680760957301","-63.967554569244385","-63.967554569244385","-63.967554569244385","-57.85613942891359","-57.85613942891359","-57.85613942891359","-70.02600160241127","-70.02600160241127","-70.02600160241127"
"5","-96.10342800617218","-96.10342800617218","-96.10342800617218","-84.95093486458063","-84.95093486458063","-84.95093486458063","-47.23114460706711","-47.23114460706711","-47.23114460706711","-65.10018078237772","-65.10018078237772","-65.10018078237772","-71.23840752243996","-71.23840752243996","-71.23840752243996","-51.820392698049545","-51.820392698049545","-51.820392698049545","-73.32017678022385","-73.32017678022385","-73.32017678022385","-36.87996831443161","-36.87996831443161","-36.87996831443161","-10.949478209018707","-10.949478209018707","-10.949478209018707","-85.83709473907948","-85.83709473907948","-85.83709473907948"
"6","-62.65017569065094","-62.65017569065094","-62.65017569065094","-59.51019126176834","-59.51019126176834","-59.51019126176834","-92.25249207019806","-92.25249207019806","-92.25249207019806","-64.21743506193161","-64.21743506193161","-64.21743506193161","-79.57246799767017","-79.57246799767017","-79.57246799767017","-94.99666567891836","-94.99666567891836","-94.99666567891836","-45.0374196767807","-45.0374196767807","-45.0374196767807","-91.79686423391104","-91.79686423391104","-91.79686423391104","-70.49144110828638","-70.49144110828638","-70.49144110828638","-71.81029009819031","-71.81029009819031","-71.81029009819031"
"7","-81.82094740867615","-81.82094740867615","-81.82094740867615","-47.532019736245275","-47.532019736245275","-47.532019736245275","-79.20288133621216","-79.20288133621216","-79.20288133621216","-94.80162975564599","-94.80162975564599","-94.80162975564599","-27.39157103188336","-27.39157103188336","-27.39157103188336","-73.55370315979235","-73.55370315979235","-73.55370315979235","-76.20132303237915","-76.20132303237915","-76.20132303237915","-64.97836186131462","-64.97836186131462","-64.97836186131462","6.358725346624851","6.358725346624851","6.358725346624851","-61.44341269880533","-61.44341269880533","-61.44341269880533"
"8","-43.39643505013737","-43.39643505013737","-43.39643505013737","-73.09724920988083","-73.09724920988083","-73.09724920988083","-61.37566504906863","-61.37566504906863","-61.37566504906863","-94.06379354000092","-94.06379354000092","-94.06379354000092","-66.40286231040955","-66.40286231040955","-66.40286231040955","-70.91193640232086","-70.91193640232086","-70.91193640232086","-97.13723123911768","-97.13723123911768","-97.13723123911768","-94.3839518725872","-94.3839518725872","-94.3839518725872","-5.906266134232283","-5.906266134232283","-5.906266134232283","-59.821152715943754","-59.821152715943754","-59.821152715943754"
"9","-97.03321516513824","-97.03321516513824","-97.03321516513824","-86.8790951371193","-86.8790951371193","-86.8790951371193","-89.92580074071884","-89.92580074071884","-89.92580074071884","26.42831628024578","26.42831628024578","26.42831628024578","-31.928519496228546","-31.928519496228546","-31.928519496228546","-56.19613090157509","-56.19613090157509","-56.19613090157509","-63.888452768325806","-63.888452768325806","-63.888452768325806","-71.33875102549791","-71.33875102549791","-71.33875102549791","-60.67155469767749","-60.67155469767749","-60.67155469767749","-99.17049288749695","-99.17049288749695","-99.17049288749695"
