"Step","dreamerv3/medium/ih_5/room0/run4 - train/score","dreamerv3/medium/ih_5/room0/run4 - train/score__MIN","dreamerv3/medium/ih_5/room0/run4 - train/score__MAX","dreamerv3/medium/ih_5/room0/run3 - train/score","dreamerv3/medium/ih_5/room0/run3 - train/score__MIN","dreamerv3/medium/ih_5/room0/run3 - train/score__MAX","dreamerv3/medium/ih_5/room0/run2 - train/score","dreamerv3/medium/ih_5/room0/run2 - train/score__MIN","dreamerv3/medium/ih_5/room0/run2 - train/score__MAX","dreamerv3/medium/ih_5/room0/run1 - train/score","dreamerv3/medium/ih_5/room0/run1 - train/score__MIN","dreamerv3/medium/ih_5/room0/run1 - train/score__MAX","dreamerv3/medium/ih_5/room0/run0 - train/score","dreamerv3/medium/ih_5/room0/run0 - train/score__MIN","dreamerv3/medium/ih_5/room0/run0 - train/score__MAX","dreamerv3/large/ih_15/room0/run4 - train/score","dreamerv3/large/ih_15/room0/run4 - train/score__MIN","dreamerv3/large/ih_15/room0/run4 - train/score__MAX","dreamerv3/large/ih_15/room0/run3 - train/score","dreamerv3/large/ih_15/room0/run3 - train/score__MIN","dreamerv3/large/ih_15/room0/run3 - train/score__MAX","dreamerv3/large/ih_15/room0/run2 - train/score","dreamerv3/large/ih_15/room0/run2 - train/score__MIN","dreamerv3/large/ih_15/room0/run2 - train/score__MAX","dreamerv3/large/ih_15/room0/run1 - train/score","dreamerv3/large/ih_15/room0/run1 - train/score__MIN","dreamerv3/large/ih_15/room0/run1 - train/score__MAX","dreamerv3/large/ih_15/room0/run0 - train/score","dreamerv3/large/ih_15/room0/run0 - train/score__MIN","dreamerv3/large/ih_15/room0/run0 - train/score__MAX"
"0","-48.37676864862442","-48.37676864862442","-48.37676864862442","-76.32546574622393","-76.32546574622393","-76.32546574622393","-19.61286411015317","-19.61286411015317","-19.61286411015317","-62.10072821378708","-62.10072821378708","-62.10072821378708","-51.724495746195316","-51.724495746195316","-51.724495746195316","-74.29534476995468","-74.29534476995468","-74.29534476995468","-11.836386241018772","-11.836386241018772","-11.836386241018772","-58.689898958429694","-58.689898958429694","-58.689898958429694","-40.29972592741251","-40.29972592741251","-40.29972592741251","-62.34350395202637","-62.34350395202637","-62.34350395202637"
"1","-60.75807496160269","-60.75807496160269","-60.75807496160269","-68.25666996836662","-68.25666996836662","-68.25666996836662","-65.10146570205688","-65.10146570205688","-65.10146570205688","-61.47094353660941","-61.47094353660941","-61.47094353660941","-37.884448274970055","-37.884448274970055","-37.884448274970055","-70.41681659221649","-70.41681659221649","-70.41681659221649","-56.41882127523422","-56.41882127523422","-56.41882127523422","-21.662727117538452","-21.662727117538452","-21.662727117538452","-68.79406106472015","-68.79406106472015","-68.79406106472015","-66.32886806130409","-66.32886806130409","-66.32886806130409"
"2","-49.87323147058487","-49.87323147058487","-49.87323147058487","-79.5410869717598","-79.5410869717598","-79.5410869717598","-40.022555832285434","-40.022555832285434","-40.022555832285434","-72.21191650629044","-72.21191650629044","-72.21191650629044","-63.20288863172755","-63.20288863172755","-63.20288863172755","-45.87137454748154","-45.87137454748154","-45.87137454748154","-57.17277309298515","-57.17277309298515","-57.17277309298515","11.170668158913031","11.170668158913031","11.170668158913031","-58.45987781882286","-58.45987781882286","-58.45987781882286","-46.60225258767605","-46.60225258767605","-46.60225258767605"
"3","-22.1354553475976","-22.1354553475976","-22.1354553475976","-74.72900432348251","-74.72900432348251","-74.72900432348251","-29.513098515570164","-29.513098515570164","-29.513098515570164","-39.156555116176605","-39.156555116176605","-39.156555116176605","-44.12961382418871","-44.12961382418871","-44.12961382418871","-24.144711229018867","-24.144711229018867","-24.144711229018867","-58.45068965572864","-58.45068965572864","-58.45068965572864","-69.2124205827713","-69.2124205827713","-69.2124205827713","-29.232827808707952","-29.232827808707952","-29.232827808707952","6.621245361864567","6.621245361864567","6.621245361864567"
"4","-37.76706105470657","-37.76706105470657","-37.76706105470657","-81.26748910546303","-81.26748910546303","-81.26748910546303","-58.03808209300041","-58.03808209300041","-58.03808209300041","-53.65963977575302","-53.65963977575302","-53.65963977575302","-51.2979853451252","-51.2979853451252","-51.2979853451252","-2.537205398082733","-2.537205398082733","-2.537205398082733","-31.43329487927258","-31.43329487927258","-31.43329487927258","-43.85097622871399","-43.85097622871399","-43.85097622871399","-64.85451179742813","-64.85451179742813","-64.85451179742813","-71.11514287441969","-71.11514287441969","-71.11514287441969"
"5","-59.602889105677605","-59.602889105677605","-59.602889105677605","-30.35974247008562","-30.35974247008562","-30.35974247008562","-1.652176484465599","-1.652176484465599","-1.652176484465599","1.6085268594324589","1.6085268594324589","1.6085268594324589","-57.35215354710817","-57.35215354710817","-57.35215354710817","-58.26180815696716","-58.26180815696716","-58.26180815696716","-53.44993533194065","-53.44993533194065","-53.44993533194065","-58.25215658545494","-58.25215658545494","-58.25215658545494","-68.93029582500458","-68.93029582500458","-68.93029582500458","35.37715885043144","35.37715885043144","35.37715885043144"
"6","-56.97797749936581","-56.97797749936581","-56.97797749936581","-44.14051869139075","-44.14051869139075","-44.14051869139075","-58.82884931564331","-58.82884931564331","-58.82884931564331","-49.349257693160325","-49.349257693160325","-49.349257693160325","3.444137188605964","3.444137188605964","3.444137188605964","-77.89474598318338","-77.89474598318338","-77.89474598318338","-72.26395159959793","-72.26395159959793","-72.26395159959793","-71.8297011256218","-71.8297011256218","-71.8297011256218","-63.82445904612541","-63.82445904612541","-63.82445904612541","-19.157385483384132","-19.157385483384132","-19.157385483384132"
"7","-61.96450346708298","-61.96450346708298","-61.96450346708298","-64.69804173707962","-64.69804173707962","-64.69804173707962","-63.19807630777359","-63.19807630777359","-63.19807630777359","-53.063952853903174","-53.063952853903174","-53.063952853903174","-82.7072027772665","-82.7072027772665","-82.7072027772665","-34.859940111637115","-34.859940111637115","-34.859940111637115","-73.24540901184082","-73.24540901184082","-73.24540901184082","-59.1293925344944","-59.1293925344944","-59.1293925344944","-45.283371437340975","-45.283371437340975","-45.283371437340975","-50.82442972064018","-50.82442972064018","-50.82442972064018"
"8","-66.87102533876896","-66.87102533876896","-66.87102533876896","-52.45503347367048","-52.45503347367048","-52.45503347367048","-64.65661197900772","-64.65661197900772","-64.65661197900772","-41.69947150349617","-41.69947150349617","-41.69947150349617","-87.0135553702712","-87.0135553702712","-87.0135553702712","-59.72513998672366","-59.72513998672366","-59.72513998672366","-66.01442378759384","-66.01442378759384","-66.01442378759384","-42.48866138554877","-42.48866138554877","-42.48866138554877","-74.29291665554047","-74.29291665554047","-74.29291665554047","-64.68555861711502","-64.68555861711502","-64.68555861711502"
"9","-57.648492526263","-57.648492526263","-57.648492526263","0.03427136689424515","0.03427136689424515","0.03427136689424515","9.082322422415018","9.082322422415018","9.082322422415018","-80.38030322641134","-80.38030322641134","-80.38030322641134","-87.76309794187546","-87.76309794187546","-87.76309794187546","-70.58535405062139","-70.58535405062139","-70.58535405062139","-63.39300709962845","-63.39300709962845","-63.39300709962845","-75.28775840997696","-75.28775840997696","-75.28775840997696","-68.39095711708069","-68.39095711708069","-68.39095711708069","-54.32368355989456","-54.32368355989456","-54.32368355989456"
