"Step","dreamerv3/small/ih_15/room0/run4 - train/score","dreamerv3/small/ih_15/room0/run4 - train/score__MIN","dreamerv3/small/ih_15/room0/run4 - train/score__MAX","dreamerv3/small/ih_15/room0/run3 - train/score","dreamerv3/small/ih_15/room0/run3 - train/score__MIN","dreamerv3/small/ih_15/room0/run3 - train/score__MAX","dreamerv3/small/ih_15/room0/run2 - train/score","dreamerv3/small/ih_15/room0/run2 - train/score__MIN","dreamerv3/small/ih_15/room0/run2 - train/score__MAX","dreamerv3/small/ih_15/room0/run1 - train/score","dreamerv3/small/ih_15/room0/run1 - train/score__MIN","dreamerv3/small/ih_15/room0/run1 - train/score__MAX","dreamerv3/small/ih_15/room0/run0 - train/score","dreamerv3/small/ih_15/room0/run0 - train/score__MIN","dreamerv3/small/ih_15/room0/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/run1 - train/score","dreamerv3/medium/ih_15/room0/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/run4 - train/score","dreamerv3/medium/ih_15/room0/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/run3 - train/score","dreamerv3/medium/ih_15/room0/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/run2 - train/score","dreamerv3/medium/ih_15/room0/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/run0 - train/score","dreamerv3/medium/ih_15/room0/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/run0 - train/score__MAX"
"0","-58.46070072054863","-58.46070072054863","-58.46070072054863","-41.68768234550953","-41.68768234550953","-41.68768234550953","-55.13963958621025","-55.13963958621025","-55.13963958621025","-37.05681585962884","-37.05681585962884","-37.05681585962884","-60.717404544353485","-60.717404544353485","-60.717404544353485","-59.04882621765137","-59.04882621765137","-59.04882621765137","-43.671668991446495","-43.671668991446495","-43.671668991446495","54.50328838825226","54.50328838825226","54.50328838825226","-61.48825365304947","-61.48825365304947","-61.48825365304947","-67.71954379975796","-67.71954379975796","-67.71954379975796"
"1","-55.77328836917877","-55.77328836917877","-55.77328836917877","-58.78086496889591","-58.78086496889591","-58.78086496889591","-61.64154762029648","-61.64154762029648","-61.64154762029648","-43.254613250494","-43.254613250494","-43.254613250494","-71.31574010848999","-71.31574010848999","-71.31574010848999","-58.84387123538181","-58.84387123538181","-58.84387123538181","-63.77706068754196","-63.77706068754196","-63.77706068754196","-53.90153783559799","-53.90153783559799","-53.90153783559799","-58.88812925666571","-58.88812925666571","-58.88812925666571","-64.52807408571243","-64.52807408571243","-64.52807408571243"
"2","-37.634542386978865","-37.634542386978865","-37.634542386978865","-70.97642926871777","-70.97642926871777","-70.97642926871777","-58.84270060900599","-58.84270060900599","-58.84270060900599","-63.63247883319855","-63.63247883319855","-63.63247883319855","-47.673022359609604","-47.673022359609604","-47.673022359609604","-54.22172021120787","-54.22172021120787","-54.22172021120787","-56.474742621183395","-56.474742621183395","-56.474742621183395","-76.24476612731814","-76.24476612731814","-76.24476612731814","-56.377425968647","-56.377425968647","-56.377425968647","-68.73792860656977","-68.73792860656977","-68.73792860656977"
"3","-41.51998224668205","-41.51998224668205","-41.51998224668205","-75.20612508058548","-75.20612508058548","-75.20612508058548","-20.353593438863754","-20.353593438863754","-20.353593438863754","-50.90380012989044","-50.90380012989044","-50.90380012989044","-66.81993615627289","-66.81993615627289","-66.81993615627289","-73.54879665374756","-73.54879665374756","-73.54879665374756","-80.43371537327766","-80.43371537327766","-80.43371537327766","-65.31552545726299","-65.31552545726299","-65.31552545726299","-34.52533471211791","-34.52533471211791","-34.52533471211791","-26.8627320677042","-26.8627320677042","-26.8627320677042"
"4","-39.97367552667856","-39.97367552667856","-39.97367552667856","-85.28464013338089","-85.28464013338089","-85.28464013338089","-62.24371214210987","-62.24371214210987","-62.24371214210987","-40.584842920303345","-40.584842920303345","-40.584842920303345","-40.46233320981264","-40.46233320981264","-40.46233320981264","-3.4555768445134163","-3.4555768445134163","-3.4555768445134163","-49.41895101964474","-49.41895101964474","-49.41895101964474","-61.57978923805058","-61.57978923805058","-61.57978923805058","-63.42262223362923","-63.42262223362923","-63.42262223362923","-54.656194776296616","-54.656194776296616","-54.656194776296616"
"5","-65.9643383026123","-65.9643383026123","-65.9643383026123","-67.25384140014648","-67.25384140014648","-67.25384140014648","19.024560622870922","19.024560622870922","19.024560622870922","-53.929446905851364","-53.929446905851364","-53.929446905851364","-52.94231045991182","-52.94231045991182","-52.94231045991182","-50.86919912695885","-50.86919912695885","-50.86919912695885","-64.68775290250778","-64.68775290250778","-64.68775290250778","-60.449481427669525","-60.449481427669525","-60.449481427669525","-63.50400435552001","-63.50400435552001","-63.50400435552001","-59.179978758096695","-59.179978758096695","-59.179978758096695"
"6","-37.20881447196007","-37.20881447196007","-37.20881447196007","-67.73455512523651","-67.73455512523651","-67.73455512523651","20.238443225622177","20.238443225622177","20.238443225622177","-57.179579108953476","-57.179579108953476","-57.179579108953476","27.105712175369263","27.105712175369263","27.105712175369263","-64.05155366659164","-64.05155366659164","-64.05155366659164","-35.07864457368851","-35.07864457368851","-35.07864457368851","-59.38117890059948","-59.38117890059948","-59.38117890059948","-23.12706457078457","-23.12706457078457","-23.12706457078457","-55.12506467103958","-55.12506467103958","-55.12506467103958"
"7","-50.64516294002533","-50.64516294002533","-50.64516294002533","-51.870094969403","-51.870094969403","-51.870094969403","8.002392753958702","8.002392753958702","8.002392753958702","-55.49716508388519","-55.49716508388519","-55.49716508388519","-78.77458634972572","-78.77458634972572","-78.77458634972572","-55.46119623631239","-55.46119623631239","-55.46119623631239","-81.8320522904396","-81.8320522904396","-81.8320522904396","-36.335188303200994","-36.335188303200994","-36.335188303200994","-51.87411208450794","-51.87411208450794","-51.87411208450794","-68.41216158866882","-68.41216158866882","-68.41216158866882"
"8","-70.50980716012418","-70.50980716012418","-70.50980716012418","-63.1241090297699","-63.1241090297699","-63.1241090297699","-51.21080308035016","-51.21080308035016","-51.21080308035016","-68.3964704554528","-68.3964704554528","-68.3964704554528","-49.950808979570866","-49.950808979570866","-49.950808979570866","-60.143024638295174","-60.143024638295174","-60.143024638295174","-51.99649067223072","-51.99649067223072","-51.99649067223072","-67.18818378448486","-67.18818378448486","-67.18818378448486","-65.42535495758057","-65.42535495758057","-65.42535495758057","-63.23458568099886","-63.23458568099886","-63.23458568099886"
"9","-59.54165202379227","-59.54165202379227","-59.54165202379227","-38.209010457620025","-38.209010457620025","-38.209010457620025","-58.508882224559784","-58.508882224559784","-58.508882224559784","-61.08465829119086","-61.08465829119086","-61.08465829119086","-39.99008506536484","-39.99008506536484","-39.99008506536484","-59.05308644473553","-59.05308644473553","-59.05308644473553","-70.60097739100456","-70.60097739100456","-70.60097739100456","-75.27153395488858","-75.27153395488858","-75.27153395488858","-58.67412057518959","-58.67412057518959","-58.67412057518959","-0.8920251708477736","-0.8920251708477736","-0.8920251708477736"
