"Step","sac/run4 - train/score","sac/run4 - train/score__MIN","sac/run4 - train/score__MAX","sac/run3 - train/score","sac/run3 - train/score__MIN","sac/run3 - train/score__MAX","sac/run2 - train/score","sac/run2 - train/score__MIN","sac/run2 - train/score__MAX","sac/run1 - train/score","sac/run1 - train/score__MIN","sac/run1 - train/score__MAX","sac/run0 - train/score","sac/run0 - train/score__MIN","sac/run0 - train/score__MAX"
"0","-75.95645133627937","-75.95645133627937","-75.95645133627937","35.48895418526501","35.48895418526501","35.48895418526501","-36.11144311196816","-36.11144311196816","-36.11144311196816","-74.84477036929502","-74.84477036929502","-74.84477036929502","-36.47160279715426","-36.47160279715426","-36.47160279715426"
"1","-9.193629195789391","-9.193629195789391","-9.193629195789391","-59.12346115318675","-59.12346115318675","-59.12346115318675","-66.60361797817377","-66.60361797817377","-66.60361797817377","22.083206559505072","22.083206559505072","22.083206559505072","-62.14543771725478","-62.14543771725478","-62.14543771725478"
"2","-2.733308530306352","-2.733308530306352","-2.733308530306352","-1.516114481907619","-1.516114481907619","-1.516114481907619","-12.356793175171516","-12.356793175171516","-12.356793175171516","-81.56453938903533","-81.56453938903533","-81.56453938903533","-69.09042696379838","-69.09042696379838","-69.09042696379838"
"3","-65.77649967783846","-65.77649967783846","-65.77649967783846","16.787907175477862","16.787907175477862","16.787907175477862","-41.0306572730899","-41.0306572730899","-41.0306572730899","16.330339298485754","16.330339298485754","16.330339298485754","40.4000644699125","40.4000644699125","40.4000644699125"
"4","-24.429101448333128","-24.429101448333128","-24.429101448333128","-14.848968352826866","-14.848968352826866","-14.848968352826866","53.25997177059838","53.25997177059838","53.25997177059838","-67.86063344716932","-67.86063344716932","-67.86063344716932","-76.2098836987634","-76.2098836987634","-76.2098836987634"
"5","-59.58571393019022","-59.58571393019022","-59.58571393019022","-34.599834673794305","-34.599834673794305","-34.599834673794305","-55.23340484410462","-55.23340484410462","-55.23340484410462","-41.26469960418481","-41.26469960418481","-41.26469960418481","-16.81633376209301","-16.81633376209301","-16.81633376209301"
"6","5.102860141326549","5.102860141326549","5.102860141326549","-59.954585589112206","-59.954585589112206","-59.954585589112206","40.027245149567726","40.027245149567726","40.027245149567726","-70.46136138210233","-70.46136138210233","-70.46136138210233","5.975621975991504","5.975621975991504","5.975621975991504"
"7","-47.9116053688208","-47.9116053688208","-47.9116053688208","-8.426546243074748","-8.426546243074748","-8.426546243074748","-66.76645576227276","-66.76645576227276","-66.76645576227276","-79.73257656557274","-79.73257656557274","-79.73257656557274","-65.65343596163204","-65.65343596163204","-65.65343596163204"
"8","-37.088274893025826","-37.088274893025826","-37.088274893025826","31.266286226840805","31.266286226840805","31.266286226840805","42.81274546003799","42.81274546003799","42.81274546003799","-56.12081743350464","-56.12081743350464","-56.12081743350464","-16.4222500285194","-16.4222500285194","-16.4222500285194"
"9","-1.310173426990058","-1.310173426990058","-1.310173426990058","-70.80015995767108","-70.80015995767108","-70.80015995767108","-21.52772433520303","-21.52772433520303","-21.52772433520303","-70.17033795166458","-70.17033795166458","-70.17033795166458","-8.127379547471785","-8.127379547471785","-8.127379547471785"
"10","-12.35354211579452","-12.35354211579452","-12.35354211579452","-63.18789191014985","-63.18789191014985","-63.18789191014985","-4.49873160125683","-4.49873160125683","-4.49873160125683","-69.4585784504779","-69.4585784504779","-69.4585784504779","-33.581155099335405","-33.581155099335405","-33.581155099335405"
"11","-81.41219463949167","-81.41219463949167","-81.41219463949167","-34.652556680276724","-34.652556680276724","-34.652556680276724","-23.098165478484244","-23.098165478484244","-23.098165478484244","60.33779865320294","60.33779865320294","60.33779865320294","-77.05626120157602","-77.05626120157602","-77.05626120157602"
"12","-20.66589329642096","-20.66589329642096","-20.66589329642096","-71.8887447867844","-71.8887447867844","-71.8887447867844","-14.547195315753335","-14.547195315753335","-14.547195315753335","-93.43071903753511","-93.43071903753511","-93.43071903753511","-24.368557071327963","-24.368557071327963","-24.368557071327963"
"13","-20.465339538262285","-20.465339538262285","-20.465339538262285","-64.88492047447927","-64.88492047447927","-64.88492047447927","9.546352342443054","9.546352342443054","9.546352342443054","-43.78410908713424","-43.78410908713424","-43.78410908713424","-71.31533508595066","-71.31533508595066","-71.31533508595066"
"14","-60.40792338730966","-60.40792338730966","-60.40792338730966","-84.86130822835369","-84.86130822835369","-84.86130822835369","-29.82965630628113","-29.82965630628113","-29.82965630628113","-30.980160000580796","-30.980160000580796","-30.980160000580796","-42.09876516578302","-42.09876516578302","-42.09876516578302"
"15","24.724939990575077","24.724939990575077","24.724939990575077","28.432974563919515","28.432974563919515","28.432974563919515","-70.00000393339181","-70.00000393339181","-70.00000393339181","-52.931443754643965","-52.931443754643965","-52.931443754643965","55.924543493145926","55.924543493145926","55.924543493145926"
"16","-72.5044953921045","-72.5044953921045","-72.5044953921045","11.424025686465578","11.424025686465578","11.424025686465578","-78.89515874029385","-78.89515874029385","-78.89515874029385","-93.2567112682558","-93.2567112682558","-93.2567112682558","6.5528929729356475","6.5528929729356475","6.5528929729356475"
"17","25.347306963828746","25.347306963828746","25.347306963828746","-78.40581399812905","-78.40581399812905","-78.40581399812905","-95.74748202346319","-95.74748202346319","-95.74748202346319","-16.200084717076273","-16.200084717076273","-16.200084717076273","-58.779825737749114","-58.779825737749114","-58.779825737749114"
"18","0.6356516161433453","0.6356516161433453","0.6356516161433453","-21.158277586612165","-21.158277586612165","-21.158277586612165","-10.746822860010974","-10.746822860010974","-10.746822860010974","-8.5052035886079","-8.5052035886079","-8.5052035886079","29.577352880457475","29.577352880457475","29.577352880457475"
"19","4.65026861943859","4.65026861943859","4.65026861943859","-62.1290765719716","-62.1290765719716","-62.1290765719716","-80.34635033163464","-80.34635033163464","-80.34635033163464","32.28233247274266","32.28233247274266","32.28233247274266","-48.90077851637459","-48.90077851637459","-48.90077851637459"
"20","36.423460253367566","36.423460253367566","36.423460253367566","-68.44899930987398","-68.44899930987398","-68.44899930987398","14.475194543285449","14.475194543285449","14.475194543285449","-68.3353658907449","-68.3353658907449","-68.3353658907449","-28.591085243030015","-28.591085243030015","-28.591085243030015"
"21","-47.73274910000367","-47.73274910000367","-47.73274910000367","-24.859323913811487","-24.859323913811487","-24.859323913811487","-85.73849293349879","-85.73849293349879","-85.73849293349879","-74.88440599011298","-74.88440599011298","-74.88440599011298","-30.76935416277947","-30.76935416277947","-30.76935416277947"
"22","-73.41445952274596","-73.41445952274596","-73.41445952274596","-11.973588824684716","-11.973588824684716","-11.973588824684716","-78.00438174701911","-78.00438174701911","-78.00438174701911","48.276407729623536","48.276407729623536","48.276407729623536","-39.435153081019216","-39.435153081019216","-39.435153081019216"
"23","-70.9108161021767","-70.9108161021767","-70.9108161021767","-14.0647977408083","-14.0647977408083","-14.0647977408083","30.592269447457472","30.592269447457472","30.592269447457472","-29.400490722919677","-29.400490722919677","-29.400490722919677","-60.698221718434525","-60.698221718434525","-60.698221718434525"
"24","-21.091598887381778","-21.091598887381778","-21.091598887381778","-74.21847149031393","-74.21847149031393","-74.21847149031393","-21.57936195537631","-21.57936195537631","-21.57936195537631","48.707165601165805","48.707165601165805","48.707165601165805","-7.850092686906374","-7.850092686906374","-7.850092686906374"
"25","-50.68751710533404","-50.68751710533404","-50.68751710533404","-63.85846008520107","-63.85846008520107","-63.85846008520107","-54.04179207420855","-54.04179207420855","-54.04179207420855","-22.516975752290023","-22.516975752290023","-22.516975752290023","-27.935275562288563","-27.935275562288563","-27.935275562288563"
"26","-44.67115437375433","-44.67115437375433","-44.67115437375433","-23.91733367478489","-23.91733367478489","-23.91733367478489","29.44736825093596","29.44736825093596","29.44736825093596","-4.04100043514796","-4.04100043514796","-4.04100043514796","-75.36345164102353","-75.36345164102353","-75.36345164102353"
"27","-31.059012089820282","-31.059012089820282","-31.059012089820282","25.14684859526678","25.14684859526678","25.14684859526678","-44.095605216946765","-44.095605216946765","-44.095605216946765","0.495567384360438","0.495567384360438","0.495567384360438","-63.25773806047795","-63.25773806047795","-63.25773806047795"
"28","32.31183571035319","32.31183571035319","32.31183571035319","-53.579341396801865","-53.579341396801865","-53.579341396801865","-43.824443941274936","-43.824443941274936","-43.824443941274936","-65.53231089462749","-65.53231089462749","-65.53231089462749","-61.84426840135726","-61.84426840135726","-61.84426840135726"
"29","-53.000059371086124","-53.000059371086124","-53.000059371086124","-76.51752221657402","-76.51752221657402","-76.51752221657402","-0.056901696986272565","-0.056901696986272565","-0.056901696986272565","30.295566770867314","30.295566770867314","30.295566770867314","-69.90275686563392","-69.90275686563392","-69.90275686563392"
"30","-37.01665432200786","-37.01665432200786","-37.01665432200786","-39.267475797202174","-39.267475797202174","-39.267475797202174","-36.94021398285368","-36.94021398285368","-36.94021398285368","20.911128715800793","20.911128715800793","20.911128715800793","-3.8751512992480457","-3.8751512992480457","-3.8751512992480457"
"31","-59.342341344543","-59.342341344543","-59.342341344543","4.253946931060902","4.253946931060902","4.253946931060902","61.331019218182","61.331019218182","61.331019218182","-20.479030444139337","-20.479030444139337","-20.479030444139337","-55.43840124208905","-55.43840124208905","-55.43840124208905"
"32","-35.7728850163514","-35.7728850163514","-35.7728850163514","12.63858871173074","12.63858871173074","12.63858871173074","37.79935967264403","37.79935967264403","37.79935967264403","-72.43491847115925","-72.43491847115925","-72.43491847115925","-55.736562287060906","-55.736562287060906","-55.736562287060906"
"33","-22.760092552110734","-22.760092552110734","-22.760092552110734","-63.75638618029116","-63.75638618029116","-63.75638618029116","-82.9181185363722","-82.9181185363722","-82.9181185363722","13.801182049893148","13.801182049893148","13.801182049893148","-22.230141456057137","-22.230141456057137","-22.230141456057137"
"34","-71.18388035018903","-71.18388035018903","-71.18388035018903","-70.26352922029763","-70.26352922029763","-70.26352922029763","-10.207954544361254","-10.207954544361254","-10.207954544361254","2.860638375351833","2.860638375351833","2.860638375351833","-27.483299349805556","-27.483299349805556","-27.483299349805556"
"35","-90.42535180029724","-90.42535180029724","-90.42535180029724","-24.868552078055394","-24.868552078055394","-24.868552078055394","-52.562061848427795","-52.562061848427795","-52.562061848427795","-61.32293674704101","-61.32293674704101","-61.32293674704101","-75.30308617785276","-75.30308617785276","-75.30308617785276"
"36","-46.22081031609782","-46.22081031609782","-46.22081031609782","-66.33199019553118","-66.33199019553118","-66.33199019553118","-45.867002955100375","-45.867002955100375","-45.867002955100375","-63.48739795480775","-63.48739795480775","-63.48739795480775","-13.4409541848713","-13.4409541848713","-13.4409541848713"
"37","-54.33881412970567","-54.33881412970567","-54.33881412970567","-29.299458073992447","-29.299458073992447","-29.299458073992447","-8.606141459891932","-8.606141459891932","-8.606141459891932","-66.89498405782403","-66.89498405782403","-66.89498405782403","-41.44063388188435","-41.44063388188435","-41.44063388188435"
"38","-40.420647241581854","-40.420647241581854","-40.420647241581854","-44.030512887060766","-44.030512887060766","-44.030512887060766","-76.54077816101862","-76.54077816101862","-76.54077816101862","-69.14331715579725","-69.14331715579725","-69.14331715579725","42.5792547190155","42.5792547190155","42.5792547190155"
"39","-41.00203963362906","-41.00203963362906","-41.00203963362906","-75.33751357182237","-75.33751357182237","-75.33751357182237","-58.68418449881143","-58.68418449881143","-58.68418449881143","-41.881790427352094","-41.881790427352094","-41.881790427352094","-55.947074353537595","-55.947074353537595","-55.947074353537595"
"40","-15.214932816752064","-15.214932816752064","-15.214932816752064","-68.96652882560505","-68.96652882560505","-68.96652882560505","-59.94506469244812","-59.94506469244812","-59.94506469244812","-46.61115314940959","-46.61115314940959","-46.61115314940959","-55.98465951737619","-55.98465951737619","-55.98465951737619"
"41","-16.79300958943557","-16.79300958943557","-16.79300958943557","-45.019776630432425","-45.019776630432425","-45.019776630432425","-65.04910441048403","-65.04910441048403","-65.04910441048403","-27.541086941691862","-27.541086941691862","-27.541086941691862","47.78597750870663","47.78597750870663","47.78597750870663"
"42","-40.8542764289822","-40.8542764289822","-40.8542764289822","-30.731178148201742","-30.731178148201742","-30.731178148201742","-77.88106832102076","-77.88106832102076","-77.88106832102076","19.81987953415574","19.81987953415574","19.81987953415574","-59.78316340256231","-59.78316340256231","-59.78316340256231"
"43","-72.02278051138367","-72.02278051138367","-72.02278051138367","-43.219650668243965","-43.219650668243965","-43.219650668243965","-77.87559679899768","-77.87559679899768","-77.87559679899768","-86.07295300647317","-86.07295300647317","-86.07295300647317","-25.847548148239984","-25.847548148239984","-25.847548148239984"
"44","-5.736949936675706","-5.736949936675706","-5.736949936675706","46.588018298089935","46.588018298089935","46.588018298089935","-78.07845410064331","-78.07845410064331","-78.07845410064331","-2.6410465798799976","-2.6410465798799976","-2.6410465798799976","-78.81948896996502","-78.81948896996502","-78.81948896996502"
"45","4.893153153926118","4.893153153926118","4.893153153926118","-57.4455656533323","-57.4455656533323","-57.4455656533323","-38.96584337442574","-38.96584337442574","-38.96584337442574","-24.74073408701598","-24.74073408701598","-24.74073408701598","-54.41905141309452","-54.41905141309452","-54.41905141309452"
"46","-54.96303268543417","-54.96303268543417","-54.96303268543417","12.869690823196652","12.869690823196652","12.869690823196652","-16.912227927794355","-16.912227927794355","-16.912227927794355","19.410858979527934","19.410858979527934","19.410858979527934","-68.36321798687243","-68.36321798687243","-68.36321798687243"
"48","-1.1474644632446669","-1.1474644632446669","-1.1474644632446669","-40.57091690254063","-40.57091690254063","-40.57091690254063","3.830333160408003","3.830333160408003","3.830333160408003","-46.67000619710533","-46.67000619710533","-46.67000619710533","-52.06174101434929","-52.06174101434929","-52.06174101434929"
"49","-10.76547812677769","-10.76547812677769","-10.76547812677769","-62.45582983848401","-62.45582983848401","-62.45582983848401","-18.118875274331316","-18.118875274331316","-18.118875274331316","-51.048243690136836","-51.048243690136836","-51.048243690136836","-46.39148138663586","-46.39148138663586","-46.39148138663586"
"50","-55.046094078813624","-55.046094078813624","-55.046094078813624","-77.92856854495065","-77.92856854495065","-77.92856854495065","-74.4910540638985","-74.4910540638985","-74.4910540638985","6.464719597131548","6.464719597131548","6.464719597131548","-25.21102463887919","-25.21102463887919","-25.21102463887919"
"51","-24.645297703072305","-24.645297703072305","-24.645297703072305","-28.009738982129242","-28.009738982129242","-28.009738982129242","-26.02668161520191","-26.02668161520191","-26.02668161520191","9.999407162612336","9.999407162612336","9.999407162612336","-70.98702503018608","-70.98702503018608","-70.98702503018608"
"52","-51.65275913165545","-51.65275913165545","-51.65275913165545","-72.01413173062565","-72.01413173062565","-72.01413173062565","-56.2607547347525","-56.2607547347525","-56.2607547347525","-55.19214689220518","-55.19214689220518","-55.19214689220518","-38.35156209053404","-38.35156209053404","-38.35156209053404"
"53","-69.36963190561075","-69.36963190561075","-69.36963190561075","-14.955735944175808","-14.955735944175808","-14.955735944175808","-32.29367814647952","-32.29367814647952","-32.29367814647952","-68.86301883994061","-68.86301883994061","-68.86301883994061","-9.922101839033195","-9.922101839033195","-9.922101839033195"
"54","-15.070653992695819","-15.070653992695819","-15.070653992695819","2.9065872707450686","2.9065872707450686","2.9065872707450686","-61.79332592212144","-61.79332592212144","-61.79332592212144","-6.98577705498415","-6.98577705498415","-6.98577705498415","-65.62786679429102","-65.62786679429102","-65.62786679429102"
"55","-78.53802163183333","-78.53802163183333","-78.53802163183333","62.54839449727085","62.54839449727085","62.54839449727085","-69.21334765498328","-69.21334765498328","-69.21334765498328","35.29456196214847","35.29456196214847","35.29456196214847","-45.25054459914552","-45.25054459914552","-45.25054459914552"
"56","-69.34724490334543","-69.34724490334543","-69.34724490334543","-40.14784535917235","-40.14784535917235","-40.14784535917235","-36.72492514448128","-36.72492514448128","-36.72492514448128","-81.68349603912924","-81.68349603912924","-81.68349603912924","12.775983985971514","12.775983985971514","12.775983985971514"
"57","-60.80743252037513","-60.80743252037513","-60.80743252037513","-11.311647566364757","-11.311647566364757","-11.311647566364757","-67.99241992593949","-67.99241992593949","-67.99241992593949","18.061894423555398","18.061894423555398","18.061894423555398","38.34097798136319","38.34097798136319","38.34097798136319"
"58","-1.7989801606121485","-1.7989801606121485","-1.7989801606121485","13.244841664242545","13.244841664242545","13.244841664242545","-38.767942582278295","-38.767942582278295","-38.767942582278295","48.79568235381851","48.79568235381851","48.79568235381851","-26.956592909651505","-26.956592909651505","-26.956592909651505"
"59","-50.543843275898524","-50.543843275898524","-50.543843275898524","-63.61916024003259","-63.61916024003259","-63.61916024003259","-21.95808536683548","-21.95808536683548","-21.95808536683548","-64.4351643320299","-64.4351643320299","-64.4351643320299","-71.26784061039668","-71.26784061039668","-71.26784061039668"
"60","-58.18631254272898","-58.18631254272898","-58.18631254272898","21.077891396741418","21.077891396741418","21.077891396741418","-64.49513915854268","-64.49513915854268","-64.49513915854268","-69.4763666894799","-69.4763666894799","-69.4763666894799","-50.466034537721875","-50.466034537721875","-50.466034537721875"
"61","-7.326872187225945","-7.326872187225945","-7.326872187225945","-39.543722503928954","-39.543722503928954","-39.543722503928954","-56.573604762272524","-56.573604762272524","-56.573604762272524","-12.508351456442574","-12.508351456442574","-12.508351456442574","-73.23232942241219","-73.23232942241219","-73.23232942241219"
"62","-44.680884174196585","-44.680884174196585","-44.680884174196585","-1.5480535343851614","-1.5480535343851614","-1.5480535343851614","-3.623598950628106","-3.623598950628106","-3.623598950628106","-52.09074077939565","-52.09074077939565","-52.09074077939565","-77.05259123568985","-77.05259123568985","-77.05259123568985"
"63","-40.395096341571154","-40.395096341571154","-40.395096341571154","-50.32821983077332","-50.32821983077332","-50.32821983077332","2.187419136056315","2.187419136056315","2.187419136056315","-30.90419420544906","-30.90419420544906","-30.90419420544906","-41.50594542552185","-41.50594542552185","-41.50594542552185"
"64","-79.67232131239447","-79.67232131239447","-79.67232131239447","33.65045354305119","33.65045354305119","33.65045354305119","-47.185543521067814","-47.185543521067814","-47.185543521067814","-15.961449771506672","-15.961449771506672","-15.961449771506672","73.89992584134188","73.89992584134188","73.89992584134188"
"65","-69.52327511166408","-69.52327511166408","-69.52327511166408","-43.58653935674998","-43.58653935674998","-43.58653935674998","-19.261645438335737","-19.261645438335737","-19.261645438335737","-53.60706369288514","-53.60706369288514","-53.60706369288514","-73.60466403036374","-73.60466403036374","-73.60466403036374"
"66","-7.213408865674577","-7.213408865674577","-7.213408865674577","-45.86321861755848","-45.86321861755848","-45.86321861755848","-66.47073812250359","-66.47073812250359","-66.47073812250359","-79.27998592881784","-79.27998592881784","-79.27998592881784","-78.04214791975483","-78.04214791975483","-78.04214791975483"
"67","15.104753866657505","15.104753866657505","15.104753866657505","-56.523623228178","-56.523623228178","-56.523623228178","-69.06113325694952","-69.06113325694952","-69.06113325694952","-53.60808999029344","-53.60808999029344","-53.60808999029344","-55.35243771107124","-55.35243771107124","-55.35243771107124"
"68","-69.36344840356445","-69.36344840356445","-69.36344840356445","-54.5966714726172","-54.5966714726172","-54.5966714726172","12.461771035305278","12.461771035305278","12.461771035305278","-67.83691823776364","-67.83691823776364","-67.83691823776364","-37.938470715329245","-37.938470715329245","-37.938470715329245"
"69","-13.061343578053535","-13.061343578053535","-13.061343578053535","-58.17936361174769","-58.17936361174769","-58.17936361174769","-62.732798286720566","-62.732798286720566","-62.732798286720566","-70.61990748141531","-70.61990748141531","-70.61990748141531","-33.75212093117793","-33.75212093117793","-33.75212093117793"
"70","-45.137835589014024","-45.137835589014024","-45.137835589014024","-40.522417596805724","-40.522417596805724","-40.522417596805724","-31.43691092885617","-31.43691092885617","-31.43691092885617","-50.761761761993476","-50.761761761993476","-50.761761761993476","-1.5486481580832074","-1.5486481580832074","-1.5486481580832074"
