"Step","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MAX"
"0","-6.837595202028751","-6.837595202028751","-6.837595202028751","-65.68155712634325","-65.68155712634325","-65.68155712634325","-50.105672808364034","-50.105672808364034","-50.105672808364034","-48.295919401571155","-48.295919401571155","-48.295919401571155","-68.84135276079178","-68.84135276079178","-68.84135276079178","-97.54723872244358","-97.54723872244358","-97.54723872244358","-81.963786393404","-81.963786393404","-81.963786393404","-55.86620037537068","-55.86620037537068","-55.86620037537068","-86.58242355287075","-86.58242355287075","-86.58242355287075","-82.87144643813372","-82.87144643813372","-82.87144643813372"
"1","-66.62704460509121","-66.62704460509121","-66.62704460509121","-38.549583211541176","-38.549583211541176","-38.549583211541176","-69.87503269687295","-69.87503269687295","-69.87503269687295","-46.715089820325375","-46.715089820325375","-46.715089820325375","-70.11203440278769","-70.11203440278769","-70.11203440278769","-96.39315079897642","-96.39315079897642","-96.39315079897642","-90.58764052391052","-90.58764052391052","-90.58764052391052","-90.07552172243595","-90.07552172243595","-90.07552172243595","-47.80419997870922","-47.80419997870922","-47.80419997870922","-70.83938196627423","-70.83938196627423","-70.83938196627423"
"2","-50.353151601870195","-50.353151601870195","-50.353151601870195","-75.91512423753738","-75.91512423753738","-75.91512423753738","-84.68943427875638","-84.68943427875638","-84.68943427875638","-35.541646018624306","-35.541646018624306","-35.541646018624306","-70.38902212679386","-70.38902212679386","-70.38902212679386","-78.25117015838623","-78.25117015838623","-78.25117015838623","-83.07386934757233","-83.07386934757233","-83.07386934757233","-82.4966077208519","-82.4966077208519","-82.4966077208519","-92.98838528990746","-92.98838528990746","-92.98838528990746","-87.37736877799034","-87.37736877799034","-87.37736877799034"
"3","-58.370757753029466","-58.370757753029466","-58.370757753029466","-70.53569263219833","-70.53569263219833","-70.53569263219833","-75.15851270407438","-75.15851270407438","-75.15851270407438","-60.88839388266206","-60.88839388266206","-60.88839388266206","-78.08480505645275","-78.08480505645275","-78.08480505645275","1.5396282955771312","1.5396282955771312","1.5396282955771312","-85.08351469039917","-85.08351469039917","-85.08351469039917","-81.04269844293594","-81.04269844293594","-81.04269844293594","-52.07238444685936","-52.07238444685936","-52.07238444685936","-67.33895858004689","-67.33895858004689","-67.33895858004689"
"4","-71.83331820368767","-71.83331820368767","-71.83331820368767","-72.20645669684745","-72.20645669684745","-72.20645669684745","-74.1260821968317","-74.1260821968317","-74.1260821968317","-49.84378810226917","-49.84378810226917","-49.84378810226917","-79.21944243647158","-79.21944243647158","-79.21944243647158","-66.72686204314232","-66.72686204314232","-66.72686204314232","-85.00165859423578","-85.00165859423578","-85.00165859423578","-76.34999386314303","-76.34999386314303","-76.34999386314303","-45.037931971251965","-45.037931971251965","-45.037931971251965","-83.58625826239586","-83.58625826239586","-83.58625826239586"
"5","-12.678009184077382","-12.678009184077382","-12.678009184077382","-71.12853589653969","-71.12853589653969","-71.12853589653969","-75.8182063549757","-75.8182063549757","-75.8182063549757","-12.880788177251816","-12.880788177251816","-12.880788177251816","-64.89502687007189","-64.89502687007189","-64.89502687007189","-75.88250780105591","-75.88250780105591","-75.88250780105591","-54.52323845028877","-54.52323845028877","-54.52323845028877","-70.06201537325978","-70.06201537325978","-70.06201537325978","-77.87240135669708","-77.87240135669708","-77.87240135669708","-81.25579319894314","-81.25579319894314","-81.25579319894314"
"6","-62.78140616416931","-62.78140616416931","-62.78140616416931","-8.823182664811611","-8.823182664811611","-8.823182664811611","-49.80416287109256","-49.80416287109256","-49.80416287109256","-56.56473419070244","-56.56473419070244","-56.56473419070244","-55.96959577128291","-55.96959577128291","-55.96959577128291","-92.47190037369728","-92.47190037369728","-92.47190037369728","-63.39244995638728","-63.39244995638728","-63.39244995638728","-91.10929753351957","-91.10929753351957","-91.10929753351957","-94.2534314841032","-94.2534314841032","-94.2534314841032","-84.6517071351409","-84.6517071351409","-84.6517071351409"
"7","-91.05240402370691","-91.05240402370691","-91.05240402370691","-82.67405480146408","-82.67405480146408","-82.67405480146408","-12.189541138708591","-12.189541138708591","-12.189541138708591","-79.50881677865982","-79.50881677865982","-79.50881677865982","-45.34940110333264","-45.34940110333264","-45.34940110333264","-96.65002918243408","-96.65002918243408","-96.65002918243408","-87.9979109019041","-87.9979109019041","-87.9979109019041","-87.1439260840416","-87.1439260840416","-87.1439260840416","-87.23850052803755","-87.23850052803755","-87.23850052803755","-65.06801570992684","-65.06801570992684","-65.06801570992684"
"8","-91.04596078395844","-91.04596078395844","-91.04596078395844","1.378628931939602","1.378628931939602","1.378628931939602","-33.62959434092045","-33.62959434092045","-33.62959434092045","-48.41166220139712","-48.41166220139712","-48.41166220139712","-46.69268725812435","-46.69268725812435","-46.69268725812435","-67.69369170349091","-67.69369170349091","-67.69369170349091","-80.09751427173615","-80.09751427173615","-80.09751427173615","-91.9892430305481","-91.9892430305481","-91.9892430305481","-69.1018620505929","-69.1018620505929","-69.1018620505929","-78.90365687012672","-78.90365687012672","-78.90365687012672"
"9","-61.27475618617609","-61.27475618617609","-61.27475618617609","-82.91007089614868","-82.91007089614868","-82.91007089614868","-44.93507967889309","-44.93507967889309","-44.93507967889309","-69.36341243982315","-69.36341243982315","-69.36341243982315","-67.74082323722541","-67.74082323722541","-67.74082323722541","-85.77530609816313","-85.77530609816313","-85.77530609816313","-93.53158736974001","-93.53158736974001","-93.53158736974001","-44.44771762564778","-44.44771762564778","-44.44771762564778","-52.72636540979147","-52.72636540979147","-52.72636540979147","-79.30647344142199","-79.30647344142199","-79.30647344142199"
