"Step","drqv2/run4 - train/score","drqv2/run4 - train/score__MIN","drqv2/run4 - train/score__MAX","drqv2/run3 - train/score","drqv2/run3 - train/score__MIN","drqv2/run3 - train/score__MAX","drqv2/run2 - train/score","drqv2/run2 - train/score__MIN","drqv2/run2 - train/score__MAX","drqv2/run1 - train/score","drqv2/run1 - train/score__MIN","drqv2/run1 - train/score__MAX","drqv2/run0 - train/score","drqv2/run0 - train/score__MIN","drqv2/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MAX"
"0","","","","","","","","","","","","","","","","-58.31446847319603","-58.31446847319603","-58.31446847319603","5.323997296392918","5.323997296392918","5.323997296392918","-39.4008350353688","-39.4008350353688","-39.4008350353688","-61.7571679353714","-61.7571679353714","-61.7571679353714","-72.22609584778547","-72.22609584778547","-72.22609584778547"
"1","-47.47102737426758","-47.47102737426758","-47.47102737426758","-47.47102737426758","-47.47102737426758","-47.47102737426758","-48.07856750488281","-48.07856750488281","-48.07856750488281","-47.47102737426758","-47.47102737426758","-47.47102737426758","-47.36617660522461","-47.36617660522461","-47.36617660522461","-4.84421569108963","-4.84421569108963","-4.84421569108963","-60.91379519738257","-60.91379519738257","-60.91379519738257","9.94439939968288","9.94439939968288","9.94439939968288","-45.78496922086924","-45.78496922086924","-45.78496922086924","-20.851400522515178","-20.851400522515178","-20.851400522515178"
"2","-93.66639709472656","-93.66639709472656","-93.66639709472656","-93.66639709472656","-93.66639709472656","-93.66639709472656","-90.24337005615234","-90.24337005615234","-90.24337005615234","-93.66639709472656","-93.66639709472656","-93.66639709472656","-67.68565368652344","-67.68565368652344","-67.68565368652344","14.236044280230999","14.236044280230999","14.236044280230999","-32.68922710325569","-32.68922710325569","-32.68922710325569","-73.82912636175752","-73.82912636175752","-73.82912636175752","48.935957226669416","48.935957226669416","48.935957226669416","-69.1661008214578","-69.1661008214578","-69.1661008214578"
"3","-95.42133331298828","-95.42133331298828","-95.42133331298828","-95.42133331298828","-95.42133331298828","-95.42133331298828","-91.71662902832031","-91.71662902832031","-91.71662902832031","-95.42133331298828","-95.42133331298828","-95.42133331298828","-96.73665618896484","-96.73665618896484","-96.73665618896484","50.984967455267906","50.984967455267906","50.984967455267906","-52.14733009785414","-52.14733009785414","-52.14733009785414","-67.76736246328801","-67.76736246328801","-67.76736246328801","69.66549012064934","69.66549012064934","69.66549012064934","73.07456697383896","73.07456697383896","73.07456697383896"
"4","-76.91905212402344","-76.91905212402344","-76.91905212402344","-76.91905212402344","-76.91905212402344","-76.91905212402344","-84.48455810546875","-84.48455810546875","-84.48455810546875","-76.91905212402344","-76.91905212402344","-76.91905212402344","-96.31459045410156","-96.31459045410156","-96.31459045410156","-44.086339958012104","-44.086339958012104","-44.086339958012104","-59.07417057757266","-59.07417057757266","-59.07417057757266","-14.249756712466478","-14.249756712466478","-14.249756712466478","-60.73743436485529","-60.73743436485529","-60.73743436485529","-47.39738015830517","-47.39738015830517","-47.39738015830517"
"5","","","","","","","","","","","","","","","","-33.00546612776816","-33.00546612776816","-33.00546612776816","-10.61583239492029","-10.61583239492029","-10.61583239492029","-76.0609339773655","-76.0609339773655","-76.0609339773655","-83.39220821857452","-83.39220821857452","-83.39220821857452","15.695678055286407","15.695678055286407","15.695678055286407"
"6","-95.08970642089844","-95.08970642089844","-95.08970642089844","-95.08970642089844","-95.08970642089844","-95.08970642089844","-94.50482177734375","-94.50482177734375","-94.50482177734375","-95.08970642089844","-95.08970642089844","-95.08970642089844","-83.25968170166016","-83.25968170166016","-83.25968170166016","-54.776022367179394","-54.776022367179394","-54.776022367179394","-34.939669981598854","-34.939669981598854","-34.939669981598854","4.073401905596256","4.073401905596256","4.073401905596256","23.019704367034137","23.019704367034137","23.019704367034137","-33.84146588295698","-33.84146588295698","-33.84146588295698"
"7","-94.06625366210938","-94.06625366210938","-94.06625366210938","-94.06625366210938","-94.06625366210938","-94.06625366210938","-86.86970520019531","-86.86970520019531","-86.86970520019531","-94.06625366210938","-94.06625366210938","-94.06625366210938","-93.89523315429688","-93.89523315429688","-93.89523315429688","-68.77345350757241","-68.77345350757241","-68.77345350757241","-66.01901829242706","-66.01901829242706","-66.01901829242706","-61.94190758280456","-61.94190758280456","-61.94190758280456","-38.94947176426649","-38.94947176426649","-38.94947176426649","-70.10271847248077","-70.10271847248077","-70.10271847248077"
"8","-93.02253723144531","-93.02253723144531","-93.02253723144531","-93.02253723144531","-93.02253723144531","-93.02253723144531","-95.12653350830078","-95.12653350830078","-95.12653350830078","-93.02253723144531","-93.02253723144531","-93.02253723144531","-95.82608032226562","-95.82608032226562","-95.82608032226562","-72.55002051591873","-72.55002051591873","-72.55002051591873","-53.40962709952146","-53.40962709952146","-53.40962709952146","-18.965399280190468","-18.965399280190468","-18.965399280190468","-49.739964382722974","-49.739964382722974","-49.739964382722974","-58.17535328119993","-58.17535328119993","-58.17535328119993"
"9","-92.59577178955078","-92.59577178955078","-92.59577178955078","-95.39617919921875","-95.39617919921875","-95.39617919921875","-82.87577819824219","-82.87577819824219","-82.87577819824219","-92.59577178955078","-92.59577178955078","-92.59577178955078","-90.26368713378906","-90.26368713378906","-90.26368713378906","-64.91836950182915","-64.91836950182915","-64.91836950182915","-47.2595294713974","-47.2595294713974","-47.2595294713974","-74.5936371088028","-74.5936371088028","-74.5936371088028","-70.7039081454277","-70.7039081454277","-70.7039081454277","-51.33108104206622","-51.33108104206622","-51.33108104206622"
